Restaurant Name,Location,City,Cuisines,Average Cost for Two,Currency,Has Table Booking,Has Online Delivery,Aggregate Rating,Rating Color,Rating Text,Votes,Restaurant Type,Address,Phone Number
Mcclain-Jones, jayanagar ,Bangalore,Continental,400.0,INR,Yes,No,2.2,Green,Very Good,8494.0,Quick Bites,"804 Kelly Divide Suite 169, West Rogerborough, IL 79164",970-395-3314x8473
Dudley-Yoder, btm ,Bangalore,Italian,500.0,INR,No,Yes,2.1,Orange,Very Good,5022.522421052631,Delivery,"57223 Lynch Junctions, East Jessica, FL 33876",4666709695
Jones-Frye, jayanagar ,Bangalore,North Indian,600.0,INR,Yes,Yes,4.2,Green,Poor,2147.0,Dessert Parlor,"316 Herrera Drive, New Samuel, MA 70379",+1-036-634-7095x853
"Clark, Oconnor And Martinez", indiranagar ,Bangalore,Chinese,500.0,INR,Yes,Yes,2.4,Red,Average,2848.0,Quick Bites,"523 Joseph Harbor, East Peter, KS 72467",665-269-7238x488
Meza-Faulkner, btm ,Bangalore,Italian,500.0,INR,No,Yes,2.1,Red,Very Good,691.0,Cafe,"106 Daniels Greens Apt. 068, Adamsborough, MD 19795",761.665.9658
"Reyes, Moran And Russell", jayanagar ,Bangalore,Italian,600.0,INR,No,Yes,2.1,Orange,Poor,6233.0,Delivery,"5366 Scott Crossing, East Kevinview, SD 50647",3716860154
Luna-Strickland, whitefield ,Bangalore,Continental,600.0,INR,No,Yes,3.4,Yellow,Very Good,1399.0,Quick Bites,"18062 Nancy Shore, Madisonton, GA 47106",131.097.0898x435
Cooper-Barry, koramangala ,Bangalore,Continental,500.0,INR,Yes,Yes,2.6,Red,Average,3804.0,Delivery,"05818 Katherine Plain Apt. 124, Cruzborough, GA 90565",+1-567-479-0418x646
Burns-Manning, whitefield ,Bangalore,Chinese,600.0,INR,Yes,No,2.4,Green,Excellent,8701.0,Delivery,"930 Kennedy Islands Suite 860, Port Sabrina, CA 46044",1209288303
"Eaton, Harris And Knight", indiranagar ,Bangalore,Mexican,700.0,INR,No,No,3.506421052631579,Yellow,Poor,9002.0,Delivery,"Unit 2085 Box 3514, DPO AE 22581",+1-885-213-2036x06019
Lee Llc, koramangala ,Bangalore,Chinese,700.0,INR,Yes,No,3.5,Yellow,Poor,8450.0,Cafe,"32252 Eric Mills Suite 640, Lake Shannonshire, PA 73371",216-506-0728x89380
Myers Inc, btm ,Bangalore,Italian,400.0,INR,No,No,2.4,Yellow,Average,5346.0,Casual Dining,"4493 Harris Lakes, North Robertton, NJ 73769",683-213-4772x1193
Porter Group, koramangala ,Bangalore,Mexican,600.0,INR,No,No,3.506421052631579,Green,Very Good,7764.0,Quick Bites,"2646 Meghan Harbor Apt. 252, Theresafort, NC 19163",(701)717-8110
"Brady, Wolfe And Lewis", koramangala ,Bangalore,Continental,200.0,INR,Yes,No,2.4,Yellow,Average,3915.0,Casual Dining,"1854 Fox Loaf, Port Adrianfort, MT 04673",(885)377-9199x6638
"Johnson, Gutierrez And Stevenson", indiranagar ,Bangalore,Chinese,200.0,INR,Yes,No,5.0,Red,Average,1557.0,Cafe,"Unit 8396 Box 6535, DPO AE 10422",1443332369
"Potts, Miller And Jennings", hsr ,Bangalore,Mexican,400.0,INR,No,No,4.0,Yellow,Excellent,7890.0,Cafe,"404 Ariana Knoll, North Anna, MO 20068",(645)655-9703
"Cooper, Bryan And Ford", indiranagar ,Bangalore,Italian,700.0,INR,No,Yes,3.506421052631579,Green,Very Good,3342.0,Delivery,"38631 Edwards Dam, Marktown, DE 38206",(939)229-9075
Lopez Group, hsr ,Bangalore,North Indian,200.0,INR,Yes,No,2.5,Orange,Average,7307.0,Delivery,"265 Bullock Lock, Williamshaven, ME 51018",001-644-179-4275x13152
"Lopez, Welch And Ward", btm ,Bangalore,Mexican,200.0,INR,Yes,Yes,4.1,Green,Average,6984.0,Delivery,"859 Amy Cove Suite 934, Martinborough, SD 08537",999-458-6316x840
Williams And Sons, jayanagar ,Bangalore,North Indian,400.0,INR,Yes,Yes,4.6,Red,Very Good,9155.0,Quick Bites,"8745 Hall Fields, Mullenberg, AR 10256",+1-838-009-4214x428
"Gutierrez, Clarke And Leach", whitefield ,Bangalore,Chinese,400.0,INR,No,No,2.6,Green,Poor,2526.0,Delivery,"307 Adams Lakes, Albertport, LA 28524",(834)321-9180
Decker Inc, koramangala ,Bangalore,Italian,400.0,INR,Yes,Yes,3.1,Green,Very Good,5637.0,Casual Dining,"883 Fleming Rue Suite 213, Port Jasonshire, NJ 05211",262.023.9899x190
Reed And Sons, whitefield ,Bangalore,Mexican,400.0,INR,No,No,3.7,Yellow,Excellent,2909.0,Casual Dining,"736 Robert Locks Apt. 770, Joseshire, SC 61626",906.051.3406x4428
Martinez-Alvarado, btm ,Bangalore,South Indian,200.0,INR,No,Yes,4.0,Red,Average,308.0,Quick Bites,"2584 Aguilar Dale Suite 358, Brandonville, SD 02114",-7670
Jones-Jones, jayanagar ,Bangalore,Italian,200.0,INR,Yes,No,3.1,Orange,Average,920.0,Delivery,"2292 Clinton Expressway, Brittanytown, NE 55967",(458)895-6548x165
Wilson Inc, hsr ,Bangalore,South Indian,400.0,INR,Yes,Yes,4.3,Green,Average,7960.0,Casual Dining,"4704 Paul Overpass, East Alexandermouth, NC 41422",(568)314-3928x38662
"Hurst, Patterson And Williams", jayanagar ,Bangalore,South Indian,600.0,INR,No,Yes,2.1,Yellow,Very Good,6211.0,Dessert Parlor,"PSC 5764, Box 5297, APO AP 14920",001-559-923-4870
